Year,State,Road Crashes,Road Deaths,Serious Injury,Slight Injury
2017,PERLIS,1925,62,115,256
2017,KEDAH,23262,560,204,666
2017,PERAK,38587,711,449,569
2017,PULAU PINANG,43007,401,182,130
2017,SELANGOR,154958,1087,281,178
2017,KUALA LUMPUR,72940,236,81,809
2017,N/SEMBILAN,24941,370,286,703
2017,MELAKA,18771,230,89,55
2017,JOHOR,76121,1067,287,476
2017,PAHANG,20813,485,197,226
2017,KELANTAN,10786,442,251,1277
2017,TERENGGANU,10713,330,136,307
2017,SABAH,17244,351,473,486
2017,SARAWAK,19807,408,279,401
2018,PERLIS,2093,64,48,241
2018,KEDAH,23239,509,218,579
2018,PERAK,38278,693,435,571
2018,PULAU PINANG,45734,390,136,85
2018,SELANGOR,163078,1046,280,215
2018,KUALA LUMPUR,72284,229,84,368
2018,N/SEMBILAN,25123,362,223,573
2018,MELAKA,19120,191,110,56
2018,JOHOR,78812,977,242,332
2018,PAHANG,20641,485,167,163
2018,KELANTAN,10983,420,240,1386
2018,TERENGGANU,10607,275,149,236
2018,SABAH,18006,310,366,329
2018,SARAWAK,20600,333,266,243
2019,PERLIS,2098,76,18,198
2019,KEDAH,24867,446,220,779
2019,PERAK,39720,667,465,595
2019,PULAU PINANG,47198,392,110,42
2019,SELANGOR,168222,1054,369,455
2019,KUALA LUMPUR,73771,209,51,316
2019,N/SEMBILAN,25838,337,325,651
2019,MELAKA,19593,217,82,107
2019,JOHOR,82502,1040,264,305
2019,PAHANG,21196,454,181,232
2019,KELANTAN,11295,338,193,1282
2019,TERENGGANU,11355,277,172,285
2019,SABAH,18520,291,359,307
2019,SARAWAK,21341,369,213,301
2020,PERLIS,1615,46,9,190
2020,KEDAH,19651,354,153,1010
2020,PERAK,30669,491,387,1516
2020,PULAU PINANG,35234,287,87,157
2020,SELANGOR,123230,805,413,1973
2020,KUALA LUMPUR,50215,163,37,219
2020,N/SEMBILAN,19905,235,479,1086
2020,MELAKA,14543,151,119,116
2020,JOHOR,58207,697,335,703
2020,PAHANG,17000,356,127,322
2020,KELANTAN,9752,276,233,1659
2020,TERENGGANU,9152,238,167,217
2020,SABAH,12906,220,160,225
2020,SARAWAK,16158,315,134,369
2021,PERLIS,905,20,10,86
2021,KEDAH,10632,231,102,720
2021,PERAK,15590,331,150,1031
2021,PULAU PINANG,18166,189,53,250
2021,SELANGOR,60370,436,312,967
2021,KUALA LUMPUR,22037,101,27,142
2021,N/SEMBILAN,9611,154,220,506
2021,MELAKA,7130,75,74,112
2021,JOHOR,28157,372,179,334
2021,PAHANG,8071,176,129,189
2021,KELANTAN,4403,133,102,803
2021,TERENGGANU,4539,106,80,89
2021,SABAH,7159,118,106,122
2021,SARAWAK,7883,156,86,224